,season,id,name,short_name,home_team,away_team,home_captain,away_captain,venue_name,home_team_name,away_team_name
976,2008.0,335986,Kolkata Knight Riders v Deccan Chargers,KKR v DC,KKR,SRH,Sourav Ganguly,VVS Laxman,"Eden Gardens, Kolkata",Kolkata Knight Riders , Deccan Chargers
977,2008.0,335985,Mumbai Indians v Royal Challengers Bangalore,MI v RCB,MI,RCB,Harbhajan Singh,Rahul Dravid,"Wankhede Stadium, Mumbai",Mumbai Indians , Royal Challengers Bangalore
978,2008.0,335987,Rajasthan Royals v Kings XI Punjab,RR v KXIP,RR,KXIP,Shane Warne,Yuvraj Singh,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals , Kings XI Punjab
979,2008.0,335988,Deccan Chargers v Delhi Daredevils,SRH v DC,SRH,DC,VVS Laxman,Virender Sehwag,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers , Delhi Darede
980,2008.0,335989,Chennai Super Kings v Mumbai Indians,CSK v MI,CSK,MI,MS Dhoni,Harbhajan Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings , Mumbai Indians
981,2008.0,335990,Deccan Chargers v Rajasthan Royals,DC v RR,SRH,RR,VVS Laxman,Shane Warne,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers , Rajasthan Royals
982,2008.0,335991,Kings XI Punjab v Mumbai Indians,KXIP v MI,KXIP,MI,Yuvraj Singh,Harbhajan Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Mumbai Indians
983,2008.0,335993,Chennai Super Kings v Kolkata Knight Riders,CSK v KKR,CSK,KKR,MS Dhoni,Sourav Ganguly,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings , Kolkata Knight Riders
984,2008.0,335992,Royal Challengers Bangalore v Rajasthan Royals,RCB v RR,RCB,RR,Rahul Dravid,Shane Warne,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Rajasthan Royals
985,2008.0,335995,Kings XI Punjab v Delhi Daredevils,KXIP v DC,KXIP,DC,Yuvraj Singh,Virender Sehwag,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Delhi Darede
986,2008.0,335994,Mumbai Indians v Deccan Chargers,MI v DC,MI,SRH,Shaun Pollock,VVS Laxman,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians , Deccan Chargers
987,2008.0,335996,Royal Challengers Bangalore v Chennai Super Kings,RCB v CSK,RCB,CSK,Rahul Dravid,MS Dhoni,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Chennai Super Kings
988,2008.0,335997,Kolkata Knight Riders v Mumbai Indians,KKR v MI,KKR,MI,Sourav Ganguly,Shaun Pollock,"Eden Gardens, Kolkata",Kolkata Knight Riders , Mumbai Indians
989,2008.0,335998,Delhi Daredevils v Royal Challengers Bangalore,DC v RCB,DC,RCB,Virender Sehwag,Rahul Dravid,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
990,2008.0,336000,Rajasthan Royals v Kolkata Knight Riders,RR v KKR,RR,KKR,Shane Warne,Sourav Ganguly,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals , Kolkata Knight Riders
991,2008.0,335999,Deccan Chargers v Kings XI Punjab,DC v KXIP,SRH,KXIP,VVS Laxman,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers , Kings XI Punjab
992,2008.0,336001,Chennai Super Kings v Delhi Daredevils,CSK v DC,CSK,DC,MS Dhoni,Virender Sehwag,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings , Delhi Darede
993,2008.0,336034,Royal Challengers Bangalore v Deccan Chargers,RCB v DC,RCB,SRH,Rahul Dravid,VVS Laxman,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Deccan Chargers
994,2008.0,336003,Kings XI Punjab v Kolkata Knight Riders,KXIP v KKR,KXIP,KKR,Yuvraj Singh,Sourav Ganguly,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Kolkata Knight Riders
995,2008.0,336004,Mumbai Indians v Delhi Daredevils,MI v DC,MI,DC,Shaun Pollock,Virender Sehwag,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians , Delhi Darede
996,2008.0,336005,Rajasthan Royals v Chennai Super Kings,RR v CSK,RR,CSK,Shane Warne,MS Dhoni,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals , Chennai Super Kings
997,2008.0,336006,Royal Challengers Bangalore v Kings XI Punjab,RCB v KXIP,RCB,KXIP,Rahul Dravid,Yuvraj Singh,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Kings XI Punjab
998,2008.0,336007,Chennai Super Kings v Deccan Chargers,CSK v DC,CSK,SRH,MS Dhoni,Adam Gilchrist,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings , Deccan Chargers
999,2008.0,336008,Mumbai Indians v Rajasthan Royals,MI v RR,MI,RR,Shaun Pollock,Shane Warne,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians , Rajasthan Royals
1000,2008.0,336009,Delhi Daredevils v Chennai Super Kings,DC v CSK,DC,CSK,Virender Sehwag,MS Dhoni,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
1001,2008.0,336010,Kolkata Knight Riders v Royal Challengers Bangalore,KKR v RCB,KKR,RCB,Sourav Ganguly,Rahul Dravid,"Eden Gardens, Kolkata",Kolkata Knight Riders , Royal Challengers Bangalore
1002,2008.0,336011,Rajasthan Royals v Deccan Chargers,RR v DC,RR,SRH,Shane Warne,Adam Gilchrist,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals , Deccan Chargers
1003,2008.0,336013,Chennai Super Kings v Kings XI Punjab,CSK v KXIP,CSK,KXIP,MS Dhoni,Yuvraj Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings , Kings XI Punjab
1004,2008.0,336014,Deccan Chargers v Kolkata Knight Riders,DC v KKR,SRH,KKR,Adam Gilchrist,Sourav Ganguly,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers , Kolkata Knight Riders
1005,2008.0,336015,Rajasthan Royals v Delhi Daredevils,RR v DC,RR,DC,Shane Warne,Virender Sehwag,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals , Delhi Darede
1006,2008.0,336016,Kings XI Punjab v Royal Challengers Bangalore,KXIP v RCB,KXIP,RCB,Yuvraj Singh,Rahul Dravid,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Royal Challengers Bangalore
1007,2008.0,336017,Kolkata Knight Riders v Delhi Daredevils,KKR v DC,KKR,DC,Sourav Ganguly,Virender Sehwag,"Eden Gardens, Kolkata",Kolkata Knight Riders , Delhi Darede
1008,2008.0,336018,Mumbai Indians v Chennai Super Kings,MI v CSK,MI,CSK,Sachin Tendulkar,MS Dhoni,"Wankhede Stadium, Mumbai",Mumbai Indians , Chennai Super Kings
1009,2008.0,336020,Delhi Daredevils v Deccan Chargers,DC v SRH,DC,SRH,Virender Sehwag,Adam Gilchrist,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
1010,2008.0,336021,Mumbai Indians v Kolkata Knight Riders,MI v KKR,MI,KKR,Sachin Tendulkar,Sourav Ganguly,"Wankhede Stadium, Mumbai",Mumbai Indians , Kolkata Knight Riders
1011,2008.0,336023,Rajasthan Royals v Royal Challengers Bangalore,RR v RCB,RR,RCB,Shane Warne,Rahul Dravid,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals , Royal Challengers Bangalore
1012,2008.0,336022,Delhi Daredevils v Kings XI Punjab,DC v KXIP,DC,KXIP,Virender Sehwag,Yuvraj Singh,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
1013,2008.0,336025,Kolkata Knight Riders v Chennai Super Kings,KKR v CSK,KKR,CSK,Sourav Ganguly,MS Dhoni,"Eden Gardens, Kolkata",Kolkata Knight Riders , Chennai Super Kings
1014,2008.0,336024,Deccan Chargers v Mumbai Indians,DC v MI,SRH,MI,Adam Gilchrist,Sachin Tendulkar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers , Mumbai Indians
1015,2008.0,336026,Royal Challengers Bangalore v Delhi Daredevils,RCB v DC,RCB,DC,Rahul Dravid,Virender Sehwag,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Delhi Darede
1016,2008.0,336027,Kolkata Knight Riders v Rajasthan Royals,KKR v RR,KKR,RR,Sourav Ganguly,Shane Warne,"Eden Gardens, Kolkata",Kolkata Knight Riders , Rajasthan Royals
1017,2008.0,336028,Mumbai Indians v Kings XI Punjab,MI v KXIP,MI,KXIP,Sachin Tendulkar,Yuvraj Singh,"Wankhede Stadium, Mumbai",Mumbai Indians , Kings XI Punjab
1018,2008.0,336029,Chennai Super Kings v Royal Challengers Bangalore,CSK v RCB,CSK,RCB,MS Dhoni,Rahul Dravid,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings , Royal Challengers Bangalore
1020,2008.0,336031,Kings XI Punjab v Deccan Chargers,KXIP v DC,KXIP,SRH,Yuvraj Singh,Adam Gilchrist,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Deccan Chargers
1021,2008.0,336033,Chennai Super Kings v Rajasthan Royals,CSK v RR,CSK,RR,MS Dhoni,Shane Warne,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings , Rajasthan Royals
1022,2008.0,336032,Delhi Daredevils v Mumbai Indians,DC v MI,DC,MI,Virender Sehwag,Sachin Tendulkar,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
1023,2008.0,336002,Deccan Chargers v Royal Challengers Bangalore,DC v RCB,SRH,RCB,Adam Gilchrist,Rahul Dravid,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers , Royal Challengers Bangalore
1024,2008.0,336035,Kolkata Knight Riders v Kings XI Punjab,KKR v KXIP,KKR,KXIP,Sourav Ganguly,Yuvraj Singh,"Eden Gardens, Kolkata",Kolkata Knight Riders , Kings XI Punjab
1025,2008.0,336036,Rajasthan Royals v Mumbai Indians,RR v MI,RR,MI,Shane Warne,Sachin Tendulkar,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals , Mumbai Indians
1026,2008.0,336037,Deccan Chargers v Chennai Super Kings,DC v CSK,SRH,CSK,Adam Gilchrist,MS Dhoni,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers , Chennai Super Kings
1027,2008.0,336012,Royal Challengers Bangalore v Mumbai Indians,RCB v MI,RCB,MI,Rahul Dravid,Sachin Tendulkar,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Mumbai Indians
1028,2008.0,336019,Kings XI Punjab v Rajasthan Royals,KXIP v RR,KXIP,RR,Yuvraj Singh,Shane Watson,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Rajasthan Royals
1029,2008.0,336038,Delhi Daredevils v Rajasthan Royals,DC v RR,DC,RR,Virender Sehwag,Shane Warne,"Wankhede Stadium, Mumbai",Delhi Darede,ils 
1030,2008.0,336039,Chennai Super Kings v Kings XI Punjab,CSK v KXIP,CSK,KXIP,MS Dhoni,Yuvraj Singh,"Wankhede Stadium, Mumbai",Chennai Super Kings , Kings XI Punjab
1031,2008.0,336040,Chennai Super Kings v Rajasthan Royals,CSK v RR,CSK,RR,MS Dhoni,Shane Warne,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings , Rajasthan Royals
